draw,best_existing_prediction,optimized_candidate_prediction,candidate_minus_existing
104,2.2827043240782235e-05,1.93513117382645e-05,-3.475731502517735e-06
105,2.5045828007912806e-05,2.7520874104346136e-05,2.4750460964333306e-06
106,2.130893511088017e-05,1.8220607933409693e-05,-3.088327177470478e-06
107,1.2303406898856027e-05,1.8759128816282857e-05,6.4557219174268306e-06
108,2.0442358743158672e-05,2.0253687569368242e-05,-1.886711737904299e-07
109,2.511090406811516e-05,2.3409977471445702e-05,-1.7009265966694563e-06
110,1.9152467843041077e-05,1.8002340493806484e-05,-1.1501273492345928e-06
111,2.0520602327598683e-05,1.940661528202366e-05,-1.113987045575022e-06
112,2.0854517013703148e-05,2.0086353762527742e-05,-7.681632511754056e-07
113,2.2901720221987443e-05,1.9796953801723805e-05,-3.1047664202636382e-06
114,2.0399982591089723e-05,1.914547451480813e-05,-1.2545080762815932e-06
115,1.6014790256009353e-05,1.875971059134041e-05,2.7449203353310564e-06
116,2.1952134680185494e-05,2.271427277745406e-05,7.621380972685657e-07
117,2.0758581294626495e-05,2.4196868101751206e-05,3.438286807124711e-06
118,1.86496940360981e-05,2.1362551797501453e-05,2.7128577614033523e-06
119,1.7024949456076618e-05,2.078532838254829e-05,3.7603789264716733e-06
120,2.1852291369498495e-05,2.1182278444515317e-05,-6.700129249831785e-07
121,1.68982993675679e-05,1.7439250587677474e-05,5.409512201095748e-07
122,2.3231529363227168e-05,2.089114072480151e-05,-2.3403886384256588e-06
123,2.2713854955695636e-05,2.1127411755240214e-05,-1.5864432004554223e-06
124,1.8167567395077554e-05,2.131377285561784e-05,3.1462054605402846e-06
125,2.1880742853636298e-05,2.1392472102891625e-05,-4.882707507446724e-07
126,1.9582149895578026e-05,1.948483203149482e-05,-9.731786408320522e-08
127,2.1282808550517084e-05,2.3564269447331272e-05,2.2814608968141872e-06
128,2.5200052405650297e-05,2.174912212084516e-05,-3.4509302848051383e-06
129,2.1589406521534062e-05,2.404103422183371e-05,2.451627700299647e-06
130,2.2648580918799295e-05,2.269466188741892e-05,4.6080968619625635e-08
131,1.8891238593283933e-05,1.8800603290512103e-05,-9.063530277182995e-08
132,1.9337759049645917e-05,1.8967666968686738e-05,-3.7009208095917855e-07
133,2.3447804995360234e-05,2.335070722045838e-05,-9.709777490185553e-08
134,1.609251852528065e-05,1.9553011628478498e-05,3.4604931031978485e-06
135,1.6659628643285225e-05,2.2301949251229347e-05,5.642320607944122e-06
136,2.6457248375584383e-05,1.9375663631970093e-05,-7.08158474361429e-06
137,2.165739794672292e-05,2.0021043046743704e-05,-1.636354899979216e-06
138,1.9480878417820748e-05,2.2652171707804814e-05,3.171293289984066e-06
139,2.110338305313582e-05,2.2103762502257916e-05,1.0003794491220973e-06
140,2.4970979942747926e-05,2.1583566704799102e-05,-3.387413237948824e-06
141,2.2943891982244354e-05,2.0137080082944366e-05,-2.8068118992999878e-06
142,2.498177580076577e-05,2.122249655857706e-05,-3.7592792421887075e-06
143,2.1637663905532675e-05,2.2680101276323658e-05,1.0424373707909833e-06
144,1.6183891611526022e-05,2.2767427331791898e-05,6.583535720265876e-06
145,2.08722099376641e-05,2.1554392332809372e-05,6.821823951452702e-07
146,2.1153799232493547e-05,1.9813249336317064e-05,-1.3405498961764834e-06
147,2.26288040961781e-05,2.1451020549348574e-05,-1.1777835468295267e-06
148,2.00290359664504e-05,1.9160947723351195e-05,-8.680882430992045e-07
149,1.777612967385229e-05,2.0738039330857144e-05,2.9619096570048537e-06
150,2.4376042691632e-05,2.2920432924972863e-05,-1.4556097666591375e-06
151,2.0205298901489755e-05,2.1029767996909948e-05,8.244690954201933e-07
152,2.305980681778121e-05,2.087463300674564e-05,-2.1851738110355684e-06
153,2.3609662173198252e-05,2.2138362307160548e-05,-1.4712998660377048e-06
154,2.013606181886851e-05,1.859257477989714e-05,-1.54348703897137e-06
155,2.3467429665540855e-05,2.1074304727920376e-05,-2.3931249376204797e-06
156,1.7983797626598593e-05,2.003031432140276e-05,2.0465166948041676e-06
157,2.0483178426933185e-05,2.019972914709897e-05,-2.834492798342159e-07
158,2.249842196060738e-05,2.1987280011937334e-05,-5.111419486700448e-07
159,2.0544289392739968e-05,1.9243883277108557e-05,-1.3004061156314103e-06
160,1.5760506201291284e-05,1.880856215862724e-05,3.048055957335955e-06
161,1.8869706055934322e-05,2.1249340024238765e-05,2.3796339683044436e-06
162,2.0265601430664426e-05,2.267362237736623e-05,2.4080209467018024e-06
163,2.215253532722607e-05,2.236288871196175e-05,2.1035338473567863e-07
164,2.2128471589546726e-05,2.049128750241349e-05,-1.6371840871332372e-06
165,2.1150460194476546e-05,2.116680705029473e-05,1.634685581818426e-08
